Name, Industry, Stage, Condition, City, Website
the family, all, early stage, equity, paris berlin, https://www.thefamily.co/
Techno founders, all, early stage, equity, paris, http://technofounders.com/
Founders Factory, all,early stage, equity, paris London, https://foundersfactory.com/
Sap.io, greentech, early stage, equity, paris, https://sap.io/sap-io-foundry-paris-integre-8-nouvelles-start-up-retail-voici-ce-quelles-font/ 
Beta-i, IT, early stage, N/A, Lisbon, http://beta-i.com/
the family, all, early stage, equity, paris berlin, https://www.thefamily.co/
ACE Startups,all,early stage,equity,Brazil,https://acestartups.com.br/startups/
Startup Farm,all,early stage,equity,Brazil,https://http://startup.farm/
Liga Ventures,all,early stage,equity,Brazil,https://liga.ventures/
Startup SP,all,very early stage,no equity (incubator),Brazil,http://bit.ly/2xRw9R8
Y-Combinator,all,early stage,equity,global,http://www.ycombinator.com/
Various, all, any stage, N/A, Montreal, https://bit.ly/MTLStartupCommunityLandscape
微链创投 (Chinese App connecting to VC's), all, early stage, n/a, China, https://welian.com/
Entrepreneur First, all, early stage, equity, World, https://www.joinef.com/
