Name,Country,Funding ringcpound,Website 
ISAI,FR,Seed,http://www.isai.fr/  
BPI,FR,Seed/Series A and Series B,https://www.bpifrance.fr/ 
Kerala,FR,Seed/Series A and Series B,https://www.kerala.vc/ 
Newfund,FR,Seed/Series A and Series B,https://newfundcap.com/ 
Partech Ventures,World,Seed/Series A and Series B,https://partechpartners.com/  
Idinvest,FR,Seed/Series A and Series B,https://www.idinvest.com/fr  
Ring Capital,FR,Seed/Series A and Series B,https://www.ringcp.com/home  
Kima Ventures,Europe,Seed/Series A and Series B,https://www.kimaventures.com/ 
Xange,Europe,Seed/Series A and Series B,https://www.ringcp.com/home 
50 Partners,FR,Seed/Series A and Series B,http://www.50partners.fr/ 
Daphni,Europe,Seed/Series A and Series B,https://daphni.com/  
Bossa Nova, South America, Series A and B, https://www.bossainvest.com/ 
Various Angels & Vcs, Canada, Various, bit.ly/VCsAngelsMTL
Qualgro, Europe & Asia, Seed Serie A and Serie B, http://qualgro.com
